day,pos,area,maj_ax,min_ax,peri,gmd,sf,v_projected,v_corrected
3,j,22657.28,181.08,160.385,952.061,170.419,0.5604592517984209,2565520.3144071093,1437869.5958862582
3,k,21950.08,191.433,148.176,1200.592,168.421,0.4374491133010199,2446346.449099396,1070152.0849856292
3,l,24247.04,183.53,175.23,1545.114,179.332,0.3572512597261599,2840219.4268178395,1014671.968129385
3,m,24100.48,181.653,169.546,865.012,175.495,0.6362029021157163,2814507.0364843574,1790597.5446364523
3,n,16654.08,154.687,139.365,817.145,146.826,0.5598428391642069,1616757.0747045048,905129.8709413876
3,o,18384.0,164.374,143.694,951.559,153.687,0.5051137797535854,1875097.3380388184,947137.503822674
3,p,18430.72,164.875,143.488,886.13,153.81,0.5430985494045555,1882249.7680586409,1022247.1186497089
3,q18,14036.48,139.981,129.33,787.706,134.55,0.5331751307012041,1250982.1620197378,666992.5777397486
3,r,12056.32,134.417,115.246,644.784,124.463,0.6036678725764807,995831.7072431925,601151.6081557027
3,s,5981.44,100.708,92.636,1200.394,96.588,0.22839363224676432,347994.53704088187,79479.73631679818
6,a,5670.4,95.525,76.668,430.184,85.579,0.6205224899145523,321206.51397905266,199315.8658310552
6,b,12470.4,135.291,119.698,912.178,127.256,0.43397581796365764,1047573.1929168535,454621.433272892
6,c,14805.12,138.747,136.256,534.198,137.496,0.8074369880281634,1355132.3032930412,1094183.9453506009
6,d,19096.96,159.855,152.982,743.203,156.381,0.6591429284819705,1985226.9302678378,1308548.2925180153
6,e,19274.24,166.168,149.22,781.054,157.466,0.6301043855834777,2012934.7343995585,1268359.0040384748
6,f,20382.08,183.307,143.103,1034.698,161.962,0.48912017111819883,2188953.586339917,1070661.3527203752
6,g,19062.4,167.742,145.018,646.001,155.967,0.7576358751360189,1979840.335293599,1499998.065059755
6,h,21390.08,174.209,157.602,863.748,165.698,0.6002388227518645,2353327.736944183,1412558.6703726857
6,i,14579.2,143.902,134.686,788.558,139.218,0.5427978725577136,1324232.8003281937,718790.7467892871
6,j,18274.56,160.444,145.418,664.24,152.746,0.721445238900307,1858378.5926001742,1340718.387705649
6,k,17396.48,149.498,148.953,722.862,149.225,0.6468152162369818,1726059.9411060284,1116441.834044488
6,l,18993.92,168.026,151.082,1174.088,159.329,0.41611328834790257,1969181.3184208935,819402.5137613761
6,m,19434.88,165.613,150.616,788.723,157.937,0.6265725407826614,2038152.1220415486,1277050.1536091461
6,n,11927.04,124.326,122.87,536.002,123.596,0.7222787864739153,979857.2580524257,707730.1112637641
